Parameter,MAE,RMSE
WHTP,0.045960328,0.052379542
DSP,0.010562555,0.082657636
THP,0.028906566,0.03833174
Pressure DS Choke,0.019025509,0.078639203
Temperature DS Choke,0.045224014,0.058178045
CHP,0.003389831,0.003389831
TAP,0.00587368,0.00587368
Liquid (BLPD),0.040772105,0.043427693
OIL (BOPD),0.017680246,0.024508807
GAS (MCF),0.026589258,0.026589258
WATER (BWPD),0.004677865,0.020563384
GOR (MCF),0.017904451,0.018292363
,,
,Avg MAE,Avg RMSE
,0.022213867,0.037735932
Training Time: 16.76 sec,,
