Parameter,MAE,RMSE
WHTP,0.128215951,0.173969304
DSP,0.04522642,0.134578901
THP,0.142146831,0.193147426
Pressure DS Choke,0.034001634,0.125575721
Temperature DS Choke,0.042212541,0.058679146
CHP,0.055044707,0.146689625
TAP,0.001131922,0.001131922
Liquid (BLPD),0.187106317,0.226061834
OIL (BOPD),0.130430799,0.162494588
GAS (MCF),0.009213714,0.01979905
WATER (BWPD),0.060110856,0.077996773
GOR (MCF),0.007387715,0.010527839
,,
,Avg MAE,Avg RMSE
,0.070185784,0.110887677
Training Time: 17.55 sec,,
