Parameter,MAE,RMSE
WHTP,0.023101404,0.044002181
DSP,0.00195689,0.00195689
THP,0.033249547,0.067770379
Pressure DS Choke,0.015963549,0.015963549
Temperature DS Choke,0.016498679,0.04549041
CHP,0.006362945,0.006362945
TAP,0.036957979,0.036957979
BCP,0.003517777,0.003517777
Liquid (BLPD),0.028154451,0.028154451
OIL (BOPD),0.063092828,0.063092828
GAS (MCF),0.031133503,0.031133503
WATER (BWPD),0.004062318,0.004062318
GOR (MCF),0.025704406,0.025704406
,,
,Avg MAE,Avg RMSE
,0.022288944,0.028782278
Training Time: 16.54 seconds,,
