Parameter,MAE,RMSE
WHTP,0.062943045,0.074818063
DSP,0.037472554,0.085320438
THP,0.072106764,0.083484702
Pressure DS Choke,0.012923595,0.079940451
Temperature DS Choke,0.049073678,0.056392061
CHP,0.006132273,0.006132273
TAP,0.001891941,0.001891941
Liquid (BLPD),0.016476073,0.021195
OIL (BOPD),0.008781027,0.008822476
GAS (MCF),0.051397548,0.068360508
WATER (BWPD),0.026265141,0.035936663
GOR (MCF),0.001891517,0.007745561
,,
,Avg MAE,Avg RMSE
,0.028946263,0.044170011
Training Time: 17.41 sec,,
