Parameter,MAE,RMSE
THP,0.010716725,0.027236843
Pressure DS Choke,0.044051307,0.056069022
Temperature DS Choke,0.024922838,0.051054152
CHP,0.001589154,0.001589154
TAP,0.004303277,0.004303277
Bottom press.,0.061149907,0.08006259
Bottom temp.,0.018205517,0.021187334
Water,0.141384538,0.165105324
Liquid (BLPD),0.006127548,0.017538271
OIL (BOPD),0.029973958,0.038523821
GAS (MCF),0.079290357,0.098957606
WATER (BWPD),0.007747007,0.020922053
GOR (MCF),0.052439783,0.064188679
,,
,Avg MAE,Avg RMSE
,0.037069378,0.049749087
Training Time: 16.76 seconds,,
